id_caso,fecha_solicitud,semestre,facultad,programa,motivo,tipo_atencion,tiempo_respuesta_horas,satisfaccion_estudiante,region
CASO00149,29/03/2024,2024-1,Ciencias Económicas,Economía,Orientación de matrícula,Psicosocial,51.8,4,Itagüí
CASO00150,28/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Mesa de ayuda,37.1,2,Itagüí
CASO00151,29/06/2024,2024-1,Ciencias Económicas,Administración,Orientación de matrícula,Académica,33.2,5,Rionegro
CASO00152,16/03/2024,2024-1,Ingeniería,Ingeniería Electrónica,Dificultad académica,Académica,6.8,2,Itagüí
CASO00153,18/10/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Académica,23.6,5,Apartadó
CASO00154,12/10/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Psicosocial,32.5,5,Medellín
CASO00155,16/04/2024,2024-1,Artes y Humanidades,Comunicación,Orientación de matrícula,Mesa de ayuda,14.3,4,Medellín
CASO00156,18/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Tutoría,31.8,4,Itagüí
CASO00157,15/10/2024,2024-2,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Tutoría,42.8,2,Apartadó
CASO00158,10/08/2024,2024-2,Ciencias Económicas,Contaduría,Dificultad académica,Mesa de ayuda,22.0,3,Apartadó
CASO00159,01/08/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Psicosocial,19.5,5,Medellín
CASO00160,30/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Soporte técnico,Mesa de ayuda,42.1,2,Apartadó
CASO00161,29/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Académica,26.4,5,Rionegro
CASO00162,30/07/2024,2024-2,Ciencias Económicas,Administración,Soporte técnico,Académica,15.1,2,Apartadó
CASO00163,12/12/2024,2024-2,Artes y Humanidades,Artes Escénicas,Acceso a plataforma,Tutoría,26.8,5,Rionegro
CASO00164,20/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,17.4,4,Itagüí
CASO00165,13/11/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Académica,30.1,4,Medellín
CASO00166,18/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Orientación de matrícula,Psicosocial,20.0,2,Apartadó
CASO00167,27/11/2024,2024-2,Ingeniería,Ingeniería Mecánica,Soporte técnico,Psicosocial,0.5,5,Medellín
CASO00168,07/06/2024,2024-1,Artes y Humanidades,Comunicación,Problemas personales,Mesa de ayuda,48.1,5,Medellín
CASO00169,26/04/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Mesa de ayuda,10.7,3,Rionegro
CASO00170,14/05/2024,2024-1,Ciencias Económicas,Administración,Acceso a plataforma,Mesa de ayuda,22.3,4,Medellín
CASO00171,11/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Mesa de ayuda,13.6,4,Medellín
CASO00172,28/03/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Tutoría,26.4,3,Rionegro
CASO00173,04/04/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Académica,40.9,3,Medellín
CASO00174,07/11/2024,2024-2,Artes y Humanidades,Comunicación,Acceso a plataforma,Académica,5.6,3,Apartadó
CASO00175,03/09/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Psicosocial,24.4,3,Rionegro
CASO00176,23/08/2024,2024-2,Artes y Humanidades,Comunicación,Dificultad académica,Psicosocial,35.5,2,Itagüí
CASO00177,15/02/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Psicosocial,15.3,3,Itagüí
CASO00178,23/09/2024,2024-2,Artes y Humanidades,Comunicación,Problemas personales,Académica,22.8,2,Apartadó
CASO00179,28/01/2024,2024-1,Artes y Humanidades,Artes Escénicas,Problemas personales,Académica,42.4,5,Apartadó
CASO00180,26/01/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Tutoría,21.3,4,Apartadó
CASO00181,07/03/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,45.2,3,Rionegro
CASO00182,13/12/2024,2024-2,Ingeniería,Ingeniería Mecánica,Dificultad académica,Académica,30.7,2,Apartadó
CASO00183,02/08/2024,2024-2,Artes y Humanidades,Comunicación,Orientación de matrícula,Académica,5.7,3,Medellín
CASO00184,04/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Mesa de ayuda,29.5,3,Medellín
CASO00185,20/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Orientación de matrícula,Mesa de ayuda,29.0,4,Medellín
CASO00186,23/02/2024,2024-1,Ciencias Económicas,Contaduría,Problemas personales,Psicosocial,5.4,4,Apartadó
CASO00187,09/04/2024,2024-1,Ciencias Económicas,Administración,Dificultad académica,Tutoría,17.3,2,Medellín
CASO00188,07/02/2024,2024-1,Ingeniería,Ingeniería Electrónica,Problemas personales,Psicosocial,33.9,2,Itagüí
CASO00189,07/04/2024,2024-1,Artes y Humanidades,Comunicación,Soporte técnico,Mesa de ayuda,0.5,2,Apartadó
CASO00190,07/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Académica,32.4,4,Medellín
CASO00191,14/10/2024,2024-2,Ciencias Económicas,Administración,Dificultad académica,Tutoría,32.8,3,Medellín
CASO00192,14/02/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Mesa de ayuda,46.1,5,Apartadó
CASO00193,16/08/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Problemas personales,Mesa de ayuda,0.5,2,Itagüí
CASO00194,06/05/2024,2024-1,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Psicosocial,26.8,2,Itagüí
CASO00195,11/04/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Psicosocial,16.6,3,Apartadó
CASO00196,03/03/2024,2024-1,Ingeniería,Ingeniería Mecánica,Dificultad académica,Psicosocial,14.0,3,Itagüí
CASO00197,06/11/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Tutoría,27.2,3,Rionegro
CASO00198,20/10/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Psicosocial,28.9,4,Itagüí
CASO00199,28/08/2024,2024-2,Ingeniería,Ingeniería Electrónica,Dificultad académica,Académica,47.3,4,Medellín
CASO00200,19/05/2024,2024-1,Artes y Humanidades,Artes Escénicas,Soporte técnico,Tutoría,12.9,2,Rionegro
CASO00201,20/02/2024,2024-1,Ciencias Económicas,Economía,Problemas personales,Académica,32.6,3,Rionegro
CASO00202,08/08/2024,2024-2,Ciencias Económicas,Administración,Problemas personales,Académica,26.9,2,Apartadó
CASO00203,07/06/2024,2024-1,Artes y Humanidades,Artes Escénicas,Dificultad académica,Tutoría,42.1,5,Itagüí
CASO00204,21/05/2024,2024-1,Artes y Humanidades,Diseño Gráfico,Dificultad académica,Académica,10.4,5,Apartadó
CASO00205,13/12/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Soporte técnico,Mesa de ayuda,26.4,5,Rionegro
CASO00206,23/07/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Orientación de matrícula,Tutoría,6.9,3,Rionegro
CASO00207,04/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Tutoría,16.0,3,Rionegro
CASO00208,20/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Dificultad académica,Psicosocial,19.7,5,Rionegro
CASO00209,09/10/2024,2024-2,Ingeniería,Ingeniería de Sistemas,Acceso a plataforma,Mesa de ayuda,17.8,3,Medellín
CASO00210,13/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Problemas personales,Psicosocial,23.8,4,Medellín
CASO00211,27/08/2024,2024-2,Artes y Humanidades,Artes Escénicas,Dificultad académica,Mesa de ayuda,23.5,3,Medellín
CASO00212,01/10/2024,2024-2,Artes y Humanidades,Diseño Gráfico,Acceso a plataforma,Mesa de ayuda,26.3,4,Medellín
CASO00213,09/09/2024,2024-2,Artes y Humanidades,Artes Escénicas,Problemas personales,Tutoría,18.3,3,Itagüí
CASO00214,28/02/2024,2024-1,Ingeniería,Ingeniería Mecánica,Acceso a plataforma,Tutoría,24.2,4,Itagüí
CASO00215,08/04/2024,2024-1,Ingeniería,Ingeniería de Sistemas,Soporte técnico,Tutoría,21.2,5,Itagüí
CASO00216,27/01/2024,2024-1,Artes y Humanidades,Comunicación,Acceso a plataforma,Mesa de ayuda,25.3,4,Rionegro
CASO00217,30/11/2024,2024-2,Ciencias Económicas,Economía,Acceso a plataforma,Psicosocial,19.5,5,Apartadó
CASO00218,31/05/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Tutoría,7.8,4,Medellín
CASO00219,03/09/2024,2024-2,Ingeniería,Ingeniería Electrónica,Orientación de matrícula,Tutoría,35.6,5,Itagüí
CASO00220,13/05/2024,2024-1,Ciencias Económicas,Contaduría,Soporte técnico,Psicosocial,28.8,5,Rionegro
CASO00221,09/03/2024,2024-1,Ingeniería,Ingeniería Mecánica,Orientación de matrícula,Académica,23.3,4,Apartadó
